stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,wheelchair_boarding
329,329,Constitució - Pla de la Saïdia,Constitució ILLETA SAÏDIA - VALÈNCIA,39.4830881367549,-0.378839955823492,,,0,,0
330,330,Burjassot - Màlaga,Burjassot 26 - VALÈNCIA,39.4837226366065,-0.383247127128197,,,0,,0
331,331,Burjassot - Centre Cultural Bombas Gens,Burjassot 56 - VALÈNCIA,39.4854851626598,-0.385629895503867,,,0,,0
333,333,Burjassot - Doctor Peset Aleixandre,Burjassot 114 - VALÈNCIA,39.4883346990293,-0.389068907813921,,,0,,0
337,337,Doctor Moliner - Arts Gràfiques,Doctor Moliner 10 - VALÈNCIA,39.4761906677587,-0.362802238459797,,,0,,0
338,338,Museu de Belles Arts,Sant Pius V 3 - VALÈNCIA,39.4790094275649,-0.371349025696354,,,0,,0
339,339,La Plata - Sapadors,"Plata, de la 59 - VALÈNCIA",39.4558049102176,-0.365505594938444,,,0,,0
341,341,Pont de Fusta,Cronista Rivelles 1 FGV - VALÈNCIA,39.4808327306242,-0.373986948661651,,,0,,0
342,342,Guadalaviar - Sagunt,Guadalaviar 2 - VALÈNCIA,39.4818695863257,-0.375423757869737,,,0,,0
343,343,El Pla de la Saïdia - Constitució,El Pla de la Saïdia 2 - VALÈNCIA,39.4828328578202,-0.37744693064284,,,0,,0
344,344,Escola Oficial d'Idiomes,El Pla de la Saïdia 18 - VALÈNCIA,39.4829023250833,-0.381185860576464,,,0,,0
345,345,Menéndez Pidal (parell) - Pare Ferrís,Menéndez Pidal 2 - VALÈNCIA,39.4816190059087,-0.384547372037258,,,0,,0
346,346,Estació d'autobusos,Menéndez Pidal 14 - VALÈNCIA,39.4802119148825,-0.387708751728686,,,0,,0
347,347,Menéndez Pidal - Pasarel·la,Menéndez Pidal PETRIL RIU - VALÈNCIA,39.4790462734356,-0.390091254302063,,,0,,0
348,348,Estació d'autobusos (riu),Menéndez Pidal 14 (DAVANT RIU) - VALÈNCIA,39.4799083099609,-0.387802307280915,,,0,,0
349,349,Menéndez Pidal (imparell) - Pare Ferrís,Menéndez Pidal 1 (DAVANT) - VALÈNCIA,39.4814951349031,-0.384302724356909,,,0,,0
